model,r2,rmse,mae
Random Forest Regressor,0.09159336555837805,95.51401904178736,67.77445470131977
XGBoost Regressor,0.08288860321044922,95.97055619433493,67.96784210205078
Linear Regression,0.0635076545420632,96.97930936988074,67.64171189514228
Decision Tree Regressor,0.05661902763437654,97.3353348444561,68.490653818068
