feature,importance
mean_temp_c,0.28967588705052133
gust_speed,0.19681988795192767
month_num,0.14893351146148678
precip_intensity,0.12997267270158805
precip_mm,0.12089642809459233
snowfall_cm,0.0842034094343193
is_weekend_int,0.029498203305564387
