term,coef,p_value
precip_mm,1.2360881010014046,1.8417634343965427e-05
snowfall_cm,11.168390602405019,1.458773748833446e-17
mean_temp_c,-0.6285506405767228,4.674886978826073e-06
is_weekend_int,-31.877984585368424,1.642292337580518e-26
