model,accuracy,precision,recall,f1,roc_auc
Logistic Regression,0.5683018867924529,0.30132450331125826,0.5481927710843374,0.3888888888888889,0.580005823899829
Random Forest Classifier,0.6618867924528302,0.3198757763975155,0.3102409638554217,0.3149847094801223,0.5673085089603126
XGBoost Classifier,0.7418867924528302,0.4305555555555556,0.09337349397590361,0.15346534653465346,0.5663772916439171
Decision Tree Classifier,0.6120754716981132,0.30131004366812225,0.41566265060240964,0.3493670886075949,0.5625007583202902
